UID DA TOMADA,CIDADE,MORADA,OPERADOR,TYPE2 7kW Custo €,Duração (minutos) até 7kW,POTÊNCIA DA TOMADA (kW),TARIFA 1,TARIFA 2,TARIFA 3,FORMATO DA TOMADA,ESTADO DA TOMADA
VNG-90003-01,Vila Nova de Gaia,Avenida da República,EDP - EDP Comercial,2.335,583,37,"€0,004/min ",,,SOCKET,Disponível
VNG-90003-03,Vila Nova de Gaia,Avenida da República,EDP - EDP Comercial,2.335,583,37,"€0,004/min ",,,SOCKET,Disponível
VNG-90003-02,Vila Nova de Gaia,Avenida da República,EDP - EDP Comercial,2.335,583,37,"€0,004/min ",,,SOCKET,Disponível
VNG-90003-04,Vila Nova de Gaia,Avenida da República,EDP - EDP Comercial,2.335,583,37,"€0,004/min ",,,SOCKET,Disponível
VNG-90011-02,Vila Nova de Gaia,Rua Conselheiro Veloso da Cruz,EDP - EDP Comercial,2.335,583,37,"€0,004/min ",,,SOCKET,Disponível
VNG-90011-01,Vila Nova de Gaia,Rua Conselheiro Veloso da Cruz,EDP - EDP Comercial,2.335,583,37,"€0,004/min ",,,SOCKET,Disponível
VNG-90013-02,Vila Nova de Gaia,Avenida de Beira Mar,EDP - EDP Comercial,2.335,583,37,"€0,004/min ",,,SOCKET,Disponível
VNG-90013-01,Vila Nova de Gaia,Avenida de Beira Mar,EDP - EDP Comercial,2.335,583,37,"€0,004/min ",,,SOCKET,Em uso
PRT-90082-1,Porto,Rua Duque de Loulé,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
PRT-90082-4,Porto,Rua Duque de Loulé,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
PRT-90082-3,Porto,Rua Duque de Loulé,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
PRT-90082-2,Porto,Rua Duque de Loulé,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
PRT-90085-01,Porto,Rua de Cervantes,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
PRT-90085-04,Porto,Rua de Cervantes,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
PRT-90085-02,Porto,Rua de Cervantes,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Em uso
PRT-90085-03,Porto,Rua de Cervantes,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
VNG-90001-1,Vila Nova de Gaia,Rua das Camélias,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
VNG-90001-3,Vila Nova de Gaia,Rua das Camélias,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
VNG-90001-4,Vila Nova de Gaia,Rua das Camélias,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
VNG-90001-2,Vila Nova de Gaia,Rua das Camélias,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
VNG-90002-04,Vila Nova de Gaia,Alameda da Serra do Pilar,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
VNG-90002-02,Vila Nova de Gaia,Alameda da Serra do Pilar,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
VNG-90002-01,Vila Nova de Gaia,Alameda da Serra do Pilar,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
VNG-90002-03,Vila Nova de Gaia,Alameda da Serra do Pilar,HRZ - Power Dot,2.685,583,37,"€0,0046/min ",,,SOCKET,Disponível
PRT-00119-1,Porto,Universidade Católica Portuguesa,MOT - Renewing,3.261,583,22,"€0,2608/charge ","€0,05/kWh ",€0/min ,SOCKET,Disponível
PRT-00120-1,Porto,Universidade Católica Portuguesa,MOT - Renewing,3.261,583,22,"€0,2608/charge ","€0,05/kWh ",€0/min ,SOCKET,Disponível
PRT-90081-1,Porto,Rua de Cedofeita,GLP - Galp,3.444,583,37,"€0,0059/min ",,,SOCKET,Disponível
PRT-90081-3,Porto,Rua de Cedofeita,GLP - Galp,3.444,583,37,"€0,0059/min ",,,SOCKET,Disponível
PRT-90081-4,Porto,Rua de Cedofeita,GLP - Galp,3.444,583,37,"€0,0059/min ",,,SOCKET,Em uso
PRT-90081-2,Porto,Rua de Cedofeita,GLP - Galp,3.444,583,37,"€0,0059/min ",,,SOCKET,Disponível
VNG-90005-01,Vila Nova de Gaia,Rua Barão Corvo ,GLP - Galp,3.444,583,37,"€0,0059/min ",,,SOCKET,Disponível
VNG-90005-02,Vila Nova de Gaia,Rua Barão Corvo ,GLP - Galp,3.444,583,37,"€0,0059/min ",,,SOCKET,Disponível
PRT-90086-2,Porto,Rua Ofélia Diogo da Costa,EDP - EDP Comercial,4.086,583,22,"€0,007/min ",,,SOCKET,Disponível
PRT-90086-1,Porto,Rua Ofélia Diogo da Costa,EDP - EDP Comercial,4.086,583,22,"€0,007/min ",,,SOCKET,Disponível
VNG-90006-01,Vila Nova de Gaia,Rua Afonso de Albuquerque,EDP - EDP Comercial,4.086,583,22,"€0,007/min ",,,SOCKET,Disponível
VNG-90006-02,Vila Nova de Gaia,Rua Afonso de Albuquerque,EDP - EDP Comercial,4.086,583,22,"€0,007/min ",,,SOCKET,Disponível
PRT-90080-03,Porto,Rua António Bessa Leite,KLC - Atlante,5.838,583,37,"€0,01/min ",,,SOCKET,Disponível
PRT-90080-02,Porto,Rua António Bessa Leite,KLC - Atlante,5.838,583,37,"€0,01/min ",,,SOCKET,Disponível
PRT-90080-04,Porto,Rua António Bessa Leite,KLC - Atlante,5.838,583,37,"€0,01/min ",,,SOCKET,Disponível
PRT-90080-01,Porto,Rua António Bessa Leite,KLC - Atlante,5.838,583,37,"€0,01/min ",,,SOCKET,Disponível
VNG-90009-2,Vila Nova de Gaia,Rua São Cristóvão Mafamude,KLC - Atlante,5.838,583,37,"€0,01/min ",,,SOCKET,Disponível
VNG-90009-1,Vila Nova de Gaia,Rua São Cristóvão Mafamude,KLC - Atlante,5.838,583,37,"€0,01/min ",,,SOCKET,Disponível
MAI-00022-03,Maia,Rua D. Maria Faria N.º 230,KLC - Atlante,6.861,583,22,"€0,2608/charge ","€0,11/kWh ",,CABLE,Disponível
VNG-00035-2,Vila Nova de Gaia,R. 28 de Janeiro,KLC - Atlante,9.053,583,22,"€0,2964/charge ","€0,015/min ",,SOCKET,Em uso
VNG-00035-1,Vila Nova de Gaia,R. 28 de Janeiro,KLC - Atlante,9.053,583,22,"€0,2964/charge ","€0,015/min ",,SOCKET,Disponível
VNG-00069-02,Vila Nova de Gaia,Rua 28 de Janeiro 350,KLC - Atlante,9.053,583,22,"€0,2964/charge ","€0,015/min ",,CABLE,Disponível
VNG-00069-01,Vila Nova de Gaia,Rua 28 de Janeiro 350,KLC - Atlante,9.053,583,22,"€0,2964/charge ","€0,015/min ",,SOCKET,Disponível
GDM-00023-02,Gondomar,"Praceta Parque Nascente, 35",EDP - EDP Comercial,9.054,583,22,"€0,297/charge ","€0,015/min ",,SOCKET,Disponível
GDM-00023-01,Gondomar,"Praceta Parque Nascente, 35",EDP - EDP Comercial,9.054,583,22,"€0,297/charge ","€0,015/min ",,SOCKET,Disponível
PRT-00198-01,Porto," R. do Bolhão 128, Porto",PRI - Prio,9.057,583,37,"€0,3/charge ","€0,015/min ",,SOCKET,Disponível
PRT-00199-01,Porto," R. do Bolhão 128, Porto",PRI - Prio,9.057,583,37,"€0,3/charge ","€0,015/min ",,SOCKET,Disponível
VNG-00029-1,Vila Nova de Gaia,Rua da Baiza,PRI - Prio,9.057,583,74,"€0,3/charge ","€0,015/min ",,SOCKET,Disponível
VNG-00029-2,Vila Nova de Gaia,Rua da Baiza,PRI - Prio,9.057,583,74,"€0,3/charge ","€0,015/min ",,SOCKET,Disponível
MTS-00042-02,Matosinhos,Rua Fonte das Sete Bicas,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00042-01,Matosinhos,Rua Fonte das Sete Bicas,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00067-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00067-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00068-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00068-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00069-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00069-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00070-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00070-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00071-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00071-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00072-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00072-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00073-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00073-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00078-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00078-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00079-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00079-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00080-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00080-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00081-01,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
MTS-00081-02,Matosinhos,Av. Dr. Óscar Lopes,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
PRT-00121-01,Porto,Estrada da Circunvalação,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
PRT-00121-02,Porto,Estrada da Circunvalação,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
PRT-00122-02,Porto,Praça do Bom Sucesso 123,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
PRT-00122-01,Porto,Praça do Bom Sucesso 123,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
VNG-00036-02,Vila Nova de Gaia,Makro Vila Nova de Gaia,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Disponível
VNG-00036-01,Vila Nova de Gaia,Makro Vila Nova de Gaia,GLP - Galp,11.353,583,74,"€0,2608/charge ","€0,019/min ",,SOCKET,Em uso
GDM-00006-1,Gondomar,Rua Joaquim Ribeiro,IBD - Iberdrola,11.676,583,22,"€0,02/min ",,,SOCKET,Disponível
MTS-00039-01,Matosinhos,Rua Veloso Salgado,IBD - Iberdrola,11.676,583,22,"€0,02/min ",,,SOCKET,Disponível
MTS-00039-02,Matosinhos,Rua Veloso Salgado,IBD - Iberdrola,11.676,583,22,"€0,02/min ",,,SOCKET,Em uso
PRT-00069-1,Porto,Rua Gen. Norton de Matos,IBD - Iberdrola,11.676,583,22,"€0,02/min ",,,SOCKET,Disponível
PRT-00070-1,Porto,Rua Gen. Norton de Matos,IBD - Iberdrola,11.676,583,22,"€0,02/min ",,,SOCKET,Disponível
PRT-00071-02,Porto,Rua São Roque da Lameira,IBD - Iberdrola,11.676,583,22,"€0,02/min ",,,SOCKET,Disponível
PRT-00071-01,Porto,Rua São Roque da Lameira,IBD - Iberdrola,11.676,583,22,"€0,02/min ",,,SOCKET,Disponível
VLG-00007-1,Valongo,Rua JosÃ© Joaquim Ribeiro Teles,IBD - Iberdrola,11.676,583,22,"€0,02/min ",,,SOCKET,Disponível
VNG-00055-1,Vila Nova de Gaia,Rua Do Emissor,IBD - Iberdrola,11.676,583,22,"€0,02/min ",,,SOCKET,Disponível
VNG-00058-1,Vila Nova de Gaia,Rua Raimundo Carvalho,IBD - Iberdrola,11.676,583,22,"€0,02/min ",,,SOCKET,Disponível
PRT-00047-02,Porto,Rua da Constituição 666,KLC - Atlante,11.972,583,22,"€0,2964/charge ","€0,02/min ",,SOCKET,Disponível
PRT-00047-01,Porto,Rua da Constituição 666,KLC - Atlante,11.972,583,22,"€0,2964/charge ","€0,02/min ",,SOCKET,Disponível
PRT-00158-02,Porto,Estr. da CircunvalaÃ§Ã£o 12 843,KLC - Atlante,11.972,583,22,"€0,2964/charge ","€0,02/min ",,SOCKET,Disponível
PRT-00158-01,Porto,Estr. da CircunvalaÃ§Ã£o 12 843,KLC - Atlante,11.972,583,22,"€0,2964/charge ","€0,02/min ",,SOCKET,Disponível
PRT-00021-1,Porto,R. de Dom Manuel II,LOG - Logical Gravity,11.976,583,74,"€0,3/charge ","€0,02/min ",,SOCKET,Disponível
PRT-00105-1,Porto,Rua Engenheiro Ferreira Dias,PRI - Prio,11.976,583,22,"€0,3/charge ","€0,02/min ",,SOCKET,Disponível
PRT-00105-2,Porto,Rua Engenheiro Ferreira Dias,PRI - Prio,11.976,583,22,"€0,3/charge ","€0,02/min ",,SOCKET,Disponível
PRT-00187-1,Porto,RUA D MANUEL II,LOG - Logical Gravity,11.976,583,74,"€0,3/charge ","€0,02/min ",,SOCKET,Disponível
GDM-00021-01,Gondomar,"Praceta Parque Nascente, 35",EDP - EDP Comercial,13.104,583,74,"€0,2608/charge ","€0,022/min ",,SOCKET,Disponível
GDM-00021-02,Gondomar,"Praceta Parque Nascente, 35",EDP - EDP Comercial,13.104,583,74,"€0,2608/charge ","€0,022/min ",,SOCKET,Em uso
GDM-00022-02,Gondomar,"Praceta Parque Nascente, 35",EDP - EDP Comercial,13.104,583,74,"€0,2608/charge ","€0,022/min ",,SOCKET,Disponível
GDM-00022-01,Gondomar,"Praceta Parque Nascente, 35",EDP - EDP Comercial,13.104,583,74,"€0,2608/charge ","€0,022/min ",,SOCKET,Disponível
GDM-00025-01,Gondomar,"Praceta Parque Nascente, 35",EDP - EDP Comercial,13.104,583,74,"€0,2608/charge ","€0,022/min ",,SOCKET,Disponível
GDM-00025-02,Gondomar,"Praceta Parque Nascente, 35",EDP - EDP Comercial,13.104,583,74,"€0,2608/charge ","€0,022/min ",,SOCKET,Em uso
PRT-00177-02,Porto,"R. de Serralves, nº 124",EDP - EDP Comercial,13.104,583,74,"€0,2608/charge ","€0,022/min ",,SOCKET,Disponível
PRT-00177-01,Porto,"R. de Serralves, nº 124",EDP - EDP Comercial,13.104,583,74,"€0,2608/charge ","€0,022/min ",,SOCKET,Disponível
PRT-00178-01,Porto,"R. de Serralves, nº 124",EDP - EDP Comercial,13.104,583,74,"€0,2608/charge ","€0,022/min ",,SOCKET,Disponível
PRT-00178-02,Porto,"R. de Serralves, nº 124",EDP - EDP Comercial,13.104,583,74,"€0,2608/charge ","€0,022/min ",,SOCKET,Disponível
PRT-00191-1,Porto,"RUA ENG FERREIRA DIAS, Nº728",EDP - EDP Comercial,13.104,583,74,"€0,261/charge ","€0,022/min ",,SOCKET,Disponível
PRT-00192-1,Porto,"RUA ENG FERREIRA DIAS, Nº728",EDP - EDP Comercial,13.104,583,74,"€0,261/charge ","€0,022/min ",,SOCKET,Disponível
PRT-00063-01,Porto,"Avenida da Boavista, 1277","CAP - CAPWATT Services, S.A.",14.855,583,22,"€0,2608/charge ","€0,025/min ",,SOCKET,Disponível
PRT-00063-02,Porto,"Avenida da Boavista, 1277","CAP - CAPWATT Services, S.A.",14.855,583,22,"€0,2608/charge ","€0,025/min ",,SOCKET,Disponível
PRT-00064-01,Porto,"Avenida da Boavista, 1277","CAP - CAPWATT Services, S.A.",14.855,583,22,"€0,2608/charge ","€0,025/min ",,SOCKET,Disponível
PRT-00064-02,Porto,"Avenida da Boavista, 1277","CAP - CAPWATT Services, S.A.",14.855,583,22,"€0,2608/charge ","€0,025/min ",,SOCKET,Disponível
PRT-00065-02,Porto,"Avenida da Boavista, 1277","CAP - CAPWATT Services, S.A.",14.855,583,22,"€0,2608/charge ","€0,025/min ",,SOCKET,Disponível
PRT-00065-01,Porto,"Avenida da Boavista, 1277","CAP - CAPWATT Services, S.A.",14.855,583,22,"€0,2608/charge ","€0,025/min ",,SOCKET,Disponível
PRT-00066-02,Porto,"Avenida da Boavista, 1277","CAP - CAPWATT Services, S.A.",14.855,583,22,"€0,2608/charge ","€0,025/min ",,SOCKET,Disponível
PRT-00066-01,Porto,"Avenida da Boavista, 1277","CAP - CAPWATT Services, S.A.",14.855,583,22,"€0,2608/charge ","€0,025/min ",,SOCKET,Disponível
PRT-00161-04,Porto,"Rua de Santa Catarina, 312 a 350","CAP - CAPWATT Services, S.A.",14.855,583,22,"€0,2608/charge ","€0,025/min ",,SOCKET,Disponível
PRT-00161-03,Porto,"Rua de Santa Catarina, 312 a 350","CAP - CAPWATT Services, S.A.",14.855,583,22,"€0,2608/charge ","€0,025/min ",,SOCKET,Disponível
PRT-00161-01,Porto,"Rua de Santa Catarina, 312 a 350","CAP - CAPWATT Services, S.A.",14.855,583,22,"€0,2608/charge ","€0,025/min ",,SOCKET,Disponível
PRT-00161-06,Porto,"Rua de Santa Catarina, 312 a 350","CAP - CAPWATT Services, S.A.",14.855,583,22,"€0,2608/charge ","€0,025/min ",,SOCKET,Disponível
PRT-00161-05,Porto,"Rua de Santa Catarina, 312 a 350","CAP - CAPWATT Services, S.A.",14.855,583,22,"€0,2608/charge ","€0,025/min ",,SOCKET,Disponível
PRT-00161-02,Porto,"Rua de Santa Catarina, 312 a 350","CAP - CAPWATT Services, S.A.",14.855,583,22,"€0,2608/charge ","€0,025/min ",,SOCKET,Disponível
MAI-00007-01,Maia,Forum Maia,EDP - EDP Comercial,14.892,583,22,"€0,297/charge ","€0,025/min ",,SOCKET,Em uso
MAI-00007-02,Maia,Forum Maia,EDP - EDP Comercial,14.892,583,22,"€0,297/charge ","€0,025/min ",,SOCKET,Disponível
MAI-00008-02,Maia,Forum Maia,EDP - EDP Comercial,14.892,583,22,"€0,297/charge ","€0,025/min ",,SOCKET,Disponível
MAI-00008-01,Maia,Forum Maia,EDP - EDP Comercial,14.892,583,22,"€0,297/charge ","€0,025/min ",,SOCKET,Em uso
MAI-00009-02,Maia,Forum Maia,EDP - EDP Comercial,14.892,583,22,"€0,297/charge ","€0,025/min ",,SOCKET,Disponível
MAI-00009-01,Maia,Forum Maia,EDP - EDP Comercial,14.892,583,22,"€0,297/charge ","€0,025/min ",,SOCKET,Em uso
MAI-00010-02,Maia,Forum Maia,EDP - EDP Comercial,14.892,583,22,"€0,297/charge ","€0,025/min ",,SOCKET,Disponível
MAI-00010-01,Maia,Forum Maia,EDP - EDP Comercial,14.892,583,22,"€0,297/charge ","€0,025/min ",,SOCKET,Disponível
PRT-00145-01,Porto,"Tv. de Antero de Quental, 360",HRZ - Power Dot,14.895,583,74,"€0,3/charge ","€0,025/min ",,SOCKET,Disponível
PRT-00145-02,Porto,"Tv. de Antero de Quental, 360",HRZ - Power Dot,14.895,583,74,"€0,3/charge ","€0,025/min ",,SOCKET,Disponível
GDM-00007-1,Gondomar,Avenida Escritor Costa Barreto,EDP - EDP Comercial,15.018,583,74,"€0,2608/charge ","€0,1/kWh ","€0,015/min ",SOCKET,Disponível
GDM-00008-1,Gondomar,Avenida Escritor Costa Barreto,EDP - EDP Comercial,15.018,583,74,"€0,2608/charge ","€0,1/kWh ","€0,015/min ",SOCKET,Disponível
PRT-00028-1,Porto,Hotel Pestana Freixo,EDP - EDP Comercial,15.018,583,74,"€0,2608/charge ","€0,1/kWh ","€0,015/min ",SOCKET,Disponível
PRT-00029-1,Porto,Hotel Pestana Freixo,EDP - EDP Comercial,15.018,583,74,"€0,2608/charge ","€0,1/kWh ","€0,015/min ",SOCKET,Disponível
PRT-00031-1,Porto,Hotel Vila Galé Porto,EDP - EDP Comercial,15.018,583,74,"€0,2608/charge ","€0,1/kWh ","€0,015/min ",SOCKET,Disponível
