"ID";"UID DA TOMADA";"TIPO DE CARREGAMENTO";"ESTADO DO POSTO";"CIDADE";"MORADA";"OPERADOR";"MOBICHARGER";"NÍVEL DE TENSÃO";"TARIFA 1";"TARIFA 2";"TARIFA 3";"TIPO DE TOMADA";"FORMATO DA TOMADA";"POTÊNCIA DA TOMADA (kW)";"ESTADO DA TOMADA";"ÚLTIMA ATUALIZAÇÃO"
"SNS-00003";"SNS-00003-01";"Rápido";"Disponível";"Sines";"Nó Rodoviário de Sines";"MLT - Mobiletric";"Não";"Média Tensão";"€0,2608/charge ";"€0,12/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-06-09T08:20:01.0Z"
"SNS-00003";"SNS-00003-02";"Rápido";"Disponível";"Sines";"Nó Rodoviário de Sines";"MLT - Mobiletric";"Não";"Média Tensão";"€0,2608/charge ";"€0,12/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-06-09T08:20:01.0Z"
"SNS-00004";"SNS-00004-02";"Rápido";"Disponível";"Sines";"Rua da Floresta";"EDP - EDP Comercial";"Não";"Baixa Tensão Especial";"€0,297/charge ";"€0,1/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-06-09T03:05:27.932Z"
"SNS-00004";"SNS-00004-01";"Rápido";"Disponível";"Sines";"Rua da Floresta";"EDP - EDP Comercial";"Não";"Baixa Tensão Especial";"€0,297/charge ";"€0,1/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-06-09T03:05:27.932Z"
"SNS-00004";"SNS-00004-03";"Rápido";"Disponível";"Sines";"Rua da Floresta";"EDP - EDP Comercial";"Não";"Baixa Tensão Especial";"€0,297/charge ";"€0,1/min ";"";"Mennekes";"CABLE";"43";"Disponível";"2023-06-09T03:05:27.932Z"
"SNS-00005";"SNS-00005-03";"Rápido";"Disponível";"Sines";"Parque Industrial de Sines";"HLX - Helexia";"Não";"Média Tensão";"€0,2608/charge ";"€0,1/min ";"";"Mennekes";"CABLE";"43";"Disponível";"2023-06-09T17:16:11.343Z"
"SNS-00005";"SNS-00005-02";"Rápido";"Disponível";"Sines";"Parque Industrial de Sines";"HLX - Helexia";"Não";"Média Tensão";"€0,2608/charge ";"€0,1/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-06-09T17:16:11.343Z"
"SNS-00005";"SNS-00005-01";"Rápido";"Disponível";"Sines";"Parque Industrial de Sines";"HLX - Helexia";"Não";"Média Tensão";"€0,2608/charge ";"€0,1/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-06-09T17:16:11.343Z"
"SNS-00006";"SNS-00006-02";"Rápido";"Disponível";"Sines";"Avenida General Humberto Delgado";"GLG - Galpgeste";"Não";"Baixa Tensão Especial";"€0,2608/charge ";"€0,12/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-06-09T16:53:33.225Z"
"SNS-00006";"SNS-00006-01";"Rápido";"Disponível";"Sines";"Avenida General Humberto Delgado";"GLG - Galpgeste";"Não";"Baixa Tensão Especial";"€0,2608/charge ";"€0,12/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-06-09T16:53:33.225Z"
"SNS-00006";"SNS-00006-03";"Rápido";"Disponível";"Sines";"Avenida General Humberto Delgado";"GLG - Galpgeste";"Não";"Baixa Tensão Especial";"€0,2608/charge ";"€0,12/min ";"";"Mennekes";"CABLE";"43";"Disponível";"2023-06-09T16:53:33.225Z"
"SNS-00008";"SNS-00008-01";"Rápido";"Disponível";"Sines";"LT Municipal a Norte da R52, Lote 3";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,07/kWh ";"€0,09/min ";"CCS";"CABLE";"60";"Disponível";"2023-06-09T16:33:36.327Z"
"SNS-00008";"SNS-00008-02";"Rápido";"Disponível";"Sines";"LT Municipal a Norte da R52, Lote 3";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,07/kWh ";"€0,09/min ";"CHAdeMO";"CABLE";"30";"Disponível";"2023-06-09T16:33:36.327Z"
"SNS-00008";"SNS-00008-03";"Rápido";"Disponível";"Sines";"LT Municipal a Norte da R52, Lote 3";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,07/kWh ";"€0,09/min ";"Mennekes";"SOCKET";"22";"Em uso";"2023-06-09T16:33:36.327Z"
"SNS-00010";"SNS-00010-01";"Rápido";"Disponível";"Sines";"Avenida da Trindade";"KLC - Atlante";"Não";"Média Tensão";"€0,08/min ";"";"";"Mennekes";"CABLE";"43";"Disponível";"2023-06-09T16:57:21.922Z"
"SNS-00010";"SNS-00010-03";"Rápido";"Disponível";"Sines";"Avenida da Trindade";"KLC - Atlante";"Não";"Média Tensão";"€0,08/min ";"";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-06-09T16:57:21.922Z"
"SNS-00010";"SNS-00010-02";"Rápido";"Disponível";"Sines";"Avenida da Trindade";"KLC - Atlante";"Não";"Média Tensão";"€0,08/min ";"";"";"CCS";"CABLE";"50";"Disponível";"2023-06-09T16:57:21.922Z"